,Name,Brand,Price,Old Price,Discount,Stock,Rating,Reviews,First Comment,Second Comment,Price_Diff,Seller_Evaluation,Seller_Abonne_Number,Shipping_Speed,Quality_Score,Consumer_Review,Cluster
158,"Hp Pack cartouche 305 Noir + 305 Couleur Compatible avec les imprimantes jet d'encre HP Deskjet 2710, 2720 ( Stylo fixe table offert )", Hp ,379.0,490.0,23,No Info,4.5 ,11,0.0,0.0,111.0,80,64,BonScore ,Excellent,Moyen,1
159,Modem routeur Mobile 5G / 4G LTE CAT6 WiFi 300Mbps avec carte SIM et écran 14h d'autonomie,Autre,318.0,610.0,48,High Stock,2.8 ,4,0.0,0.0,292.0,74,2161,ExcellentScore ,Moyen,Moyen,0
160,Système de refroidissent USB universel pour téléphone portable,Autre,99.0,290.0,66,No Info,3.4 ,9,0.0,0.0,191.0,74,177,ExcellentScore ,Moyen,Moyen,1
161,Hp EliteDisplay E231 Écran 23″ Full HD 1920 x 1080 à 60 Hz - Remis à Neuf, Hp ,849.0,1499.0,43,Low Stock,4.2 ,28,0.0,0.0,650.0,94,105,BonScore ,Excellent,Excellent,1
162,"Couverture pour protéger le clavier de liquides , la poussière et de la saleté",Autre,43.9,99.0,56,No Info,5 ,6,0.0,0.0,55.1,86,2586,ExcellentScore ,Excellent,Moyen,0
163,Canon PIXMA G3410 Imprimante Economique Multifonction Wi-Fi- Impression- copie - numérisation - cloud + des réservoirs intégrés d'encre et Jeu de bouteilles inclus, Canon ,1649.0,2200.0,25,Low Stock,3 ,1,0.0,0.0,551.0,66,203,BonScore ,Moyen,Moyen,2
164,"3pcs cartable + sac à bandoulière + trousse, sac pc, sac d'affaires,voyage,école",Autre,157.0,199.0,21,No Info,4.3 ,4,0.0,0.0,42.0,80,52,ExcellentScore ,Moyen,Bon,1
165,TP-Link Point d'accès Wi-Fi - 300 Mbps Multi-Mode TL-WR844N, TP-Link ,195.0,250.0,22,No Info,4 ,4,0.0,0.0,55.0,86,160,ExcellentScore ,Bon,Bon,1
166,Clé Bluetooth 5.0 adaptateur Long Transmission 20m -Support Voice & Data,Autre,45.0,49.0,8,No Info,4 ,6,0.0,0.0,4.0,86,541,ExcellentScore ,Bon,Bon,1
167,Razer Tapis de souris XXL haute qualité pour PC et bureau Rize-Cubes +Sticker cadeau, Razer ,79.0,79.0,0,No Info,4.3 ,7,0.0,0.0,0.0,80,220,BonScore ,Excellent,Moyen,1
168,Adaptateur VGA Male vers HDMI Output 1080P HD+ Audio,Autre,75.0,95.0,21,No Info,3.7 ,18,0.0,0.0,20.0,86,160,ExcellentScore ,Bon,Bon,1
169,Boutique OfficielleUgreen Souris sans fil Silencieuse 2.4Ghz, Ugreen ,139.0,210.0,34,High Stock,4.7 ,3,0.0,0.0,71.0,94,67,ExcellentScore ,Bon,Excellent,1
170,UNIVERSAL 1080P Mini HDMI to RCA Audio Video AV CVBS HD TV VCR VHS DVD Adapter Converter,Autre,89.0,170.0,48,No Info,3.9 ,26,0.0,0.0,81.0,86,541,ExcellentScore ,Bon,Bon,1
171,"Hdmi And More hdmi video capture HD 1080P, HDMI vers USB 2.0 Youtube OBS, Live, stream", Hdmi And More ,128.0,194.2,34,No Info,3.8 ,21,0.0,0.0,66.19999999999999,80,100,ExcellentScore ,Bon,Moyen,1
172,General Office Tapis De Souris  Repose-Poignet, General ,39.95,55.0,27,No Info,4.4 ,66,0.0,0.2,15.049999999999997,86,541,ExcellentScore ,Bon,Bon,1
173,Câble imprimante USB 2.0 Type A Mâle vers Type B Mâle longueur 1.5M,Autre,29.0,60.0,52,No Info,4.8 ,5,0.0,0.0,31.0,74,177,ExcellentScore ,Moyen,Moyen,1
174,"Clavier de Jeu QWERTY USB Rgb Led R260 pour PC Gamer, Bureau - Noir",Autre,99.0,240.0,59,High Stock,3.6 ,13,0.23499999999999996,0.0,141.0,74,2161,ExcellentScore ,Moyen,Moyen,0
175,tapis de souris de repose-poignet en gel Confortable antidérapante Noir bureau,Autre,45.0,59.0,24,High Stock,3.9 ,62,0.0,0.0,14.0,86,541,ExcellentScore ,Bon,Bon,1
176,Epson EcoTank L3250  WiFi à réservoirs rechargeables (impression/copie/scan), Epson ,1875.0,2500.0,25,No Info,4.1 ,8,0.0,-0.6666666666666666,625.0,66,203,BonScore ,Moyen,Moyen,2
177,Mini CLAVIER +SOURIS SANS FIL Wireless MEILLEURE QUALITE français arabe,Autre,130.0,155.0,16,No Info,4 ,44,0.0,0.0,25.0,86,541,ExcellentScore ,Bon,Bon,1
178,Boutique OfficielleEpson EcoTank L121 Imprimante &agrave; r&eacute;servoirs rechargeables (C11CD76413), Epson ,1940.0,3138.0,38,No Info,0 ,0,0.0,0.0,1198.0,80,549,BonScore ,Bon,Bon,2
179,Hp imprimante LaserJet Pro M111a - 20 PPM (Remplacante de la M15a), Hp ,1449.0,1990.0,27,Low Stock,3.5 ,2,0.0,0.0,541.0,66,203,BonScore ,Moyen,Moyen,1
180,Hp Pc Gamer ProDesk 600 G1 Tour i5-4590 - 8Go - 256Go - GT 720 1GB - Remis A Neuf, Hp ,1490.0,1639.0,9,Low Stock,0 ,0,0.0,0.0,149.0,100,822,ExcellentScore ,Excellent,Excellent,1
181,USB Cable Adaptateur 3.0 SATA 3,Autre,75.0,75.0,0,No Info,3.8 ,12,0.4,0.0,0.0,86,160,ExcellentScore ,Bon,Bon,1
182,Xtrike Souris gaming GM-203 backlit Gaming mouse RGB 7 Buttons 3600 DPI + Sticker Cadeau ( Pro gamer ), Xtrike ,119.0,119.0,0,High Stock,4.1 ,15,0.0,0.0,0.0,94,354,ExcellentScore ,Excellent,Bon,1
183,Onikuma Support GAMING de casque monté sur casque pour la configuration des joueurs, Onikuma ,90.0,230.0,61,High Stock,5 ,5,0.0,0.0,140.0,74,2161,ExcellentScore ,Moyen,Moyen,0
184,"DELL Optiplex 3020 MT Intel® Core™ i5- 4th Gen - RAM 8Go , HDD  500Go (Remis à Neuf)", DELL ,899.0,1799.0,50,High Stock,4.1 ,11,0.0,0.0,900.0,74,788,ExcellentScore ,Mauvais,Bon,1
185,Boutique OfficielleApple MacBook Pro RETINA 13.3 -2015-Core I5- RAM 8Go-DISK DUR 256GO SSD–QUERTY- REMIS A NEUF/, Apple ,3499.0,5999.0,42,Low Stock,0 ,0,0.0,0.0,2500.0,66,388,BonScore ,Moyen,Moyen,2
186,Boutique OfficielleHp Imprimante laser monochrome M111w - Wi-Fi - Blanc, Hp ,1600.0,2400.0,33,Low Stock,4.2 ,5,0.0,0.0,800.0,66,203,BonScore ,Moyen,Moyen,2
187,DELL MICRO PC OPTIPLEX 3040  PENTIUM G4400T RAM 8Go SSD 128Go - REMIS A NEUF, DELL ,740.0,1350.0,45,Low Stock,4.7 ,3,0.0,0.0,610.0,86,164,BonScore ,Excellent,Bon,1
188,"Mini clavier et souris sans fil Bluetooth pour PC, ipad, téléphone, tablette-blanc",Autre,159.0,264.0,40,High Stock,3.5 ,2,0.0,0.0,105.0,74,2161,ExcellentScore ,Moyen,Moyen,0
189,KIOXIA Clé Usb 2.0 Capacité 64Gb Flash Drive // Stockage 64g DataTraveler TransMemory, KIOXIA ,79.0,79.0,0,Low Stock,0 ,0,0.0,0.0,0.0,74,24,ExcellentScore ,Mauvais,Bon,1
190,USB-C / Type-C 3.1 Male to Male Extension Data Transmit and fast charge 2M,Autre,79.0,149.0,47,No Info,3.8 ,10,0.0,0.0,70.0,74,177,ExcellentScore ,Moyen,Moyen,1
191,"DELL LATITUDE E5540 CORE I3-4030U (1,90Ghz)- RAM 4Go - 128Go SSD - Remis à Neuf", DELL ,1349.0,1999.0,33,No Info,4.3 ,4,0.0,0.0,650.0,74,788,ExcellentScore ,Mauvais,Bon,1
192,"DELL LATITUDE E5540 CORE I3-4030U (1,90Ghz)- RAM 4Go - HDD 320Go ( Remis à Neuf )", DELL ,1249.0,1799.0,31,No Info,4.7 ,3,0.0,0.0,550.0,74,788,ExcellentScore ,Mauvais,Bon,1
193,Boutique OfficielleLenovo PC PORTABLE LENOVO Thinkpad-T440 Core i5 RAM 8GB 500 HDD -Remis a Neuf, Lenovo ,1799.0,3199.0,44,High Stock,2.7 ,3,0.0,0.0,1400.0,66,388,BonScore ,Moyen,Moyen,2
195,Boutique OfficielleJedel Souris Optique à 3 Boutons -Sans fil 2.4Mhz 1000 dpi haute résolution -Bluetooth, Jedel ,56.0,79.0,29,Low Stock,2.3 ,3,0.0,0.0,23.0,74,2161,ExcellentScore ,Moyen,Moyen,0
196,Hy510 Pâte thermique de refroidissement HY510, Hy510 ,21.0,90.0,77,No Info,3.7 ,25,0.0,0.0,69.0,86,160,ExcellentScore ,Bon,Bon,1
197,Orico Clé Bluetooth 5.0 de Transmission Rapide à Longue Distance de 20M, Orico ,70.0,145.0,52,No Info,4.4 ,53,0.7,0.0,75.0,86,541,ExcellentScore ,Bon,Bon,1
198,Epson EcoTank L3250 Imprimante WiFi multifonction à réservoirs rechargeables, Epson ,1809.0,2390.0,24,Low Stock,0 ,0,0.0,0.0,581.0,86,11,MoyenScore ,Excellent,Excellent,2
199,Câble imprimante USB 2.0 - Neuf - Longueur 1.5 m  Noir,Autre,26.0,26.0,0,No Info,4.3 ,24,0.0,0.0,0.0,86,541,ExcellentScore ,Bon,Bon,1
200,Hp Imprimante Couleur Smart Tank 516 Wi-Fi MFP Copie/scan/Print - 3 years of ink, Hp ,1490.0,2599.0,43,No Info,4.3 ,3,0.0,0.0,1109.0,60,143,BonScore ,Très Mauvais,Bon,2
201,Casque Bluetooth Sans Fil écouteur anti bruit STN-01 12 h batterie,Autre,142.3,249.0,43,No Info,2.7 ,3,0.0,0.0,106.69999999999999,60,90,ExcellentScore ,Très Mauvais,Moyen,1
202,"TP-Link Kit de 3 CPL Wifi 600Mbps Wi-Fi Range Extender, AV600 TL-WPA4220 KIT", TP-Link ,983.0,1500.0,34,Low Stock,4.6 ,7,0.0,0.0,517.0,86,541,ExcellentScore ,Bon,Bon,1
203,Ovleng CASQUE GAMING GT-97 avec Microphone stéréo HIFI casque pour PC portable, Ovleng ,149.0,400.0,63,High Stock,3.5 ,4,-0.9,0.0,251.0,74,2161,ExcellentScore ,Moyen,Moyen,0
204,"TP-Link Point d'Acces 1200Mbps Dual Band Wi-Fi - Access Point , Répéteur WiFi 2 in 1 Archer C54", TP-Link ,499.0,750.0,33,Low Stock,4.3 ,3,0.0,0.0,251.0,60,576,BonScore ,Très Mauvais,Excellent,1
205,Adaptateur VGA to HDMI Full HD - Convertisseur VGA vers HDMI,Autre,65.0,99.99,35,Low Stock,4.6 ,5,0.0,0.0,34.989999999999995,54,3094,ExcellentScore ,Très Mauvais,Moyen,0
206,Câble Réseau Ethernet RJ45 CAT6 20 Mètre haut débit qualité Pro By Electro World,Autre,87.99,129.99,32,High Stock,5 ,3,0.0,0.0,42.000000000000014,74,2690,BonScore ,Bon,Moyen,0
207,Adaptateur USB 3.0 De Type-C- Gold,Autre,29.0,99.0,71,Low Stock,0 ,0,0.0,0.0,70.0,66,26,ExcellentScore ,Moyen,Mauvais,1
208,Kingston DataTraveler Exodia DTX 32GB Clé USB 3.2 - capuchon et anneaux pour porte-clés, Kingston ,59.5,99.0,40,No Info,4.1 ,26,0.0,0.0,39.5,86,541,ExcellentScore ,Bon,Bon,1
209,Samsung RAM 16GB DDR4 PC4-21300 DDR4-2666 MHz Pour Ordinateur Portable Mémoire Vive RAM, Samsung ,390.0,450.0,13,Low Stock,4.9 ,7,0.0,0.75,60.0,74,161,ExcellentScore ,Mauvais,Bon,1
210,Hp Chargeur ORIGINAL 19.5 V 2.31 A 45 W Bleu Pointe ( Origine ), Hp ,160.0,220.0,27,High Stock,5 ,2,0.0,0.0,60.0,66,830,ExcellentScore ,Mauvais,Moyen,1
211,Câble de chargement rapide Type C,Autre,28.99,28.99,0,High Stock,4.2 ,5,0.0,0.0,0.0,60,90,ExcellentScore ,Très Mauvais,Moyen,1
212,Hp Imprimante à Rèservoires Tout-en-un Smart Tank 516 - 22 PPM, Hp ,1399.0,2800.0,50,No Info,4 ,1,0.0,0.0,1401.0,80,64,BonScore ,Excellent,Moyen,2
213,Nouveau mini Clavier et Souris Sans Fil Bluetooth USB,Autre,149.0,180.0,17,Low Stock,4.5 ,4,0.0,0.0,31.0,74,177,ExcellentScore ,Moyen,Moyen,1
214,Toshiba Disque dur externe USB 3.0 canvio ready 1TB Noir, Toshiba ,599.0,1090.0,45,High Stock,4.3 ,4,0.0,0.0,491.0,60,576,BonScore ,Très Mauvais,Excellent,1
215,Hub 4 Port USB 3.0, Hub ,55.0,65.0,15,No Info,4 ,21,0.0,0.0,10.0,86,541,ExcellentScore ,Bon,Bon,1
216,NEW WORD Pack Bouteilles d'encre GI-490 pour les imprimantes à réservoirs PIXMA G3411/..., NEW WORD ,185.0,185.0,0,Low Stock,5 ,1,0.0,0.0,0.0,80,68,BonScore ,Bon,Bon,1
217,Foxconn Câble Original pour iPhone Lightning vers USB pour iPhone, Foxconn ,39.0,59.0,34,No Info,4.6 ,5,0.0,0.0,20.0,74,177,ExcellentScore ,Moyen,Moyen,1
218,Canon IMPRIMANTE JET D'ENCRE COULEUR PIXMA MG2540S 3EN1:IMPRESSION/SCAN/COPIE, Canon ,499.0,750.0,33,Low Stock,4.3 ,4,0.0,0.0,251.0,86,261,BonScore ,Excellent,Bon,1
